repository_language,date,activity
PogoScript,2013-11,32
COBOL,2013-11,29
Rebol,2013-11,28
DCPU-16 ASM,2013-11,21
Nu,2013-11,21
Max,2013-11,20
ABAP,2013-11,19
Self,2013-11,19
CLIPS,2013-11,17
wisp,2013-11,15
Fancy,2013-11,14
Mirah,2013-11,13
Rouge,2013-11,8
Monkey,2013-11,8
Turing,2013-11,8
Volt,2013-11,6
Opa,2013-11,3
Fantom,2013-11,2
TXL,2013-11,1
eC,2013-11,1
Ioke,2013-11,1
Omgrofl,2013-11,1
JavaScript,2013-10,1209950
Java,2013-10,684242
Ruby,2013-10,577152
Python,2013-10,554352
PHP,2013-10,494601
CSS,2013-10,405574
C++,2013-10,327731
C,2013-10,291643
Shell,2013-10,193555
Objective-C,2013-10,158689
C#,2013-10,134569
Perl,2013-10,55919
Go,2013-10,54938
Scala,2013-10,51596
VimL,2013-10,50831
CoffeeScript,2013-10,45643
Clojure,2013-10,25343
Haskell,2013-10,25172
Emacs Lisp,2013-10,24952
Lua,2013-10,21274
R,2013-10,21184
Puppet,2013-10,20577
Groovy,2013-10,14362
Matlab,2013-10,13701
Erlang,2013-10,13207
ActionScript,2013-10,10898
TypeScript,2013-10,9020
OCaml,2013-10,7940
Rust,2013-10,7221
Logos,2013-10,7017
XSLT,2013-10,6187
D,2013-10,6158
Arduino,2013-10,5516
Dart,2013-10,4904
Common Lisp,2013-10,4819
Visual Basic,2013-10,4643
Julia,2013-10,4555
ASP,2013-10,4093
Pascal,2013-10,3988
PowerShell,2013-10,3732
Scheme,2013-10,3672
Processing,2013-10,3670
Racket,2013-10,3597
F#,2013-10,3355
Assembly,2013-10,3350
FORTRAN,2013-10,3236
Elixir,2013-10,3049
Haxe,2013-10,3006
Prolog,2013-10,2592
VHDL,2013-10,2292
ColdFusion,2013-10,2157
Vala,2013-10,1809
Verilog,2013-10,1761
DOT,2013-10,1757
OpenEdge ABL,2013-10,1415
Standard ML,2013-10,1402
Lasso,2013-10,1119
Tcl,2013-10,1099
XML,2013-10,1053
AutoHotkey,2013-10,979
Ada,2013-10,941
Smalltalk,2013-10,891
Apex,2013-10,790
LiveScript,2013-10,782
Coq,2013-10,649
Eiffel,2013-10,617
M,2013-10,593
SuperCollider,2013-10,555
Slash,2013-10,550
Nimrod,2013-10,509
Nemerle,2013-10,506
XC,2013-10,495
Delphi,2013-10,415
