repository_language,month,pushes
RobotFramework,2014-04-01,18
Factor,2014-04-01,167
J,2014-04-01,11
ColdFusion,2014-04-01,950
XML,2014-04-01,1108
HaXe,2014-04-01,142
NetLogo,2014-04-01,337
Tcl,2014-04-01,914
XQuery,2014-04-01,321
Idris,2014-04-01,108
Bluespec,2014-04-01,226
Perl6,2014-04-01,430
Awk,2014-04-01,202
UnrealScript,2014-04-01,313
Kotlin,2014-04-01,289
xBase,2014-04-01,776
KRL,2014-04-01,542
Brightscript,2014-04-01,122
Nemerle,2014-04-01,479
Elm,2014-04-01,327
Scilab,2014-04-01,167
Prolog,2014-04-01,273
Gnuplot,2014-04-01,41
XC,2014-04-01,389
GAP,2014-04-01,46
COBOL,2014-04-01,298
Lasso,2014-04-01,355
Logtalk,2014-04-01,120
Logos,2014-04-01,664
Arc,2014-04-01,134
Processing,2014-03-01,3477
CLIPS,2014-03-01,136
Volt,2014-03-01,23
Logos,2014-03-01,845
DM,2014-03-01,2398
Verilog,2014-03-01,2165
Max,2014-03-01,658
Assembly,2014-03-01,6456
Delphi,2014-03-01,29
Lua,2014-03-01,18717
Scheme,2014-03-01,3061
Visual Basic,2014-03-01,4106
AutoIt,2014-03-01,521
XQuery,2014-03-01,293
F#,2014-03-01,3316
XProc,2014-03-01,26
PowerShell,2014-03-01,3961
M,2014-03-01,617
Nemerle,2014-03-01,234
Arduino,2014-03-01,6658
Elixir,2014-03-01,1558
Racket,2014-03-01,1749
nesC,2014-03-01,1410
Slash,2014-03-01,184
OpenEdge ABL,2014-03-01,633
Groovy,2014-03-01,10556
IDL,2014-03-01,1744
Dart,2014-03-01,6030
TypeScript,2014-03-01,12074
Smalltalk,2014-03-01,449
Nu,2014-03-01,3
Ada,2014-03-01,500
AutoHotkey,2014-03-01,954
Xtend,2014-03-01,245
ActionScript,2014-03-01,6397
Rouge,2014-03-01,7
Dylan,2014-03-01,144
Glyph,2014-03-01,36
COBOL,2014-03-01,157
Awk,2014-03-01,300
Standard ML,2014-03-01,1146
Io,2014-03-01,75
Bluespec,2014-03-01,204
ANTLR,2014-03-01,103
DCPU-16-01 ASM,2014-03-01,7
Monkey,2014-03-01,71
MoonScript,2014-03-01,147
AppleScript,2014-03-01,616
Clojure,2014-03-01,14512
xBase,2014-03-01,428
FORTRAN,2014-03-01,3421
Augeas,2014-03-01,41
Python,2014-03-01,461297
Shell,2014-03-01,159443
TeX,2014-03-01,41055
C#,2014-03-01,120225
Ruby,2014-03-01,362707
JavaScript,2014-03-01,875657
C,2014-03-01,236310
Emacs Lisp,2014-03-01,20917
CSS,2014-03-01,435866
C++,2014-03-01,269241
R,2014-03-01,29484
,2014-03-01,600001
Java,2014-03-01,621650
PHP,2014-03-01,397102
REALbasic,2014-03-01,43
Clean,2014-03-01,76
Oxygene,2014-03-01,18
ooc,2014-03-01,23
Factor,2014-03-01,108
SuperCollider,2014-03-01,185
Scilab,2014-03-01,120
Self,2014-03-01,15
eC,2014-03-01,18
Turing,2014-03-01,82
Logtalk,2014-03-01,97
Prolog,2014-03-01,106
Ecl,2014-03-01,18
Crystal,2014-03-01,88
J,2014-03-01,20
VimL,2014-03-01,41491
XC,2014-03-01,191
