repository_language,month,commits
Lasso,2014-04-01,645
XC,2014-04-01,461
Delphi,2014-04-01,74
xBase,2014-04-01,1183
Ada,2014-04-01,725
Agda,2014-04-01,485
Scheme,2014-04-01,5262
Elm,2014-04-01,516
Fantom,2014-04-01,36
Brightscript,2014-04-01,269
FORTRAN,2014-04-01,5726
NetLogo,2014-04-01,521
Logos,2014-04-01,1415
Tcl,2014-04-01,1400
Awk,2014-04-01,340
Julia,2014-04-01,10697
Assembly,2014-04-01,7015
Clojure,2014-04-01,32489
Bluespec,2014-04-01,287
Dylan,2014-04-01,206
Rust,2014-04-01,20699
XQuery,2014-04-01,668
Max,2014-04-01,1108
Eiffel,2014-04-01,2982
Harbour,2014-04-01,3
Arc,2014-04-01,204
BlitzBasic,2014-04-01,1796
Logtalk,2014-04-01,134
KRL,2014-04-01,560
UnrealScript,2014-04-01,345
OCaml,2014-04-01,10384
Nimrod,2014-04-01,1050
Nemerle,2014-04-01,689
Smalltalk,2014-04-01,1166
Coq,2014-04-01,1104
Squirrel,2014-04-01,257
ColdFusion,2014-04-01,2015
AutoIt,2014-04-01,1332
TeX,2014-04-01,56055
Slash,2014-04-01,378
nesC,2014-04-01,3242
Racket,2014-04-01,3468
Standard ML,2014-04-01,1318
AutoHotkey,2014-04-01,1543
Arduino,2014-04-01,9696
Gosu,2014-04-01,924
Augeas,2014-04-01,198
Haxe,2014-04-01,8314
Crystal,2014-04-01,122
Objective-J,2014-04-01,766
Puppet,2014-04-01,20642
Standard ML,2014-03-01,1527
RobotFramework,2014-03-01,66
BlitzBasic,2014-03-01,1779
Nemerle,2014-03-01,405
XML,2014-03-01,1254
REALbasic,2014-03-01,366
Turing,2014-03-01,114
Xtend,2014-03-01,430
PogoScript,2014-03-01,21
Awk,2014-03-01,580
AutoIt,2014-03-01,947
Mirah,2014-03-01,79
Augeas,2014-03-01,105
Self,2014-03-01,106
xBase,2014-03-01,660
Logos,2014-03-01,1452
MoonScript,2014-03-01,318
Opa,2014-03-01,8
COBOL,2014-03-01,213
Clean,2014-03-01,113
Fancy,2014-03-01,8
Io,2014-03-01,299
Agda,2014-03-01,405
ABAP,2014-03-01,119
Ceylon,2014-03-01,207
Kotlin,2014-03-01,915
Nimrod,2014-03-01,993
Objective-J,2014-03-01,739
